Date (B.S.),Date (A.D.),Local Time,UTC Time,Latitude,Longitude,Magnitude,Remarks,Epicenter
2064-4-19,2007-08-03,11:00,05:15,27.24,87.03,4.5,NSC,Bhojpur
2064-4-17,2007-08-01,11:00,05:15,29.49,81.91,4.6,NSC,Mugu
2064-4-15,2007-07-30,11:00,05:15,27.27,87.02,4.1,NSC,Bhojpur
2064-3-24,2007-07-07,11:00,05:15,28.08,85.3,4,NSC,Rasuwa
2064-3-4,2007-06-17,11:00,05:15,27.83,84.91,4.3,NSC,Dhading
2073-7-22,2016-11-06,21:47,16:02,29.69,81.05,4,RSC/NSC,Bajhang
2073-7-1,2016-10-17,10:03,04:18,27.87,85.3,4,NSC,Nuwakot
2073-6-29,2016-10-15,18:22,12:37,28.04,85.17,4.1,NSC,Rasuwa
2073-6-26,2016-10-12,14:14,08:29,27.66,85.95,4.1,NSC,Dolakha
2073-6-25,2016-10-11,12:53,07:08,27.67,85.95,4.6,NSC,Dolakha
2074-7-21,2017-11-06,08:54,03:09,29.78,81.28,4.5,RSC/NSC,Bajhang
2074-7-9,2017-10-26,18:36,12:51,29.08,81.45,4,NSC/RSC,Achham
2074-6-29,2017-10-15,05:02,23:17,28.5,83.32,4.2,NSC,Myagdi
2074-6-17,2017-10-02,07:07,01:22,28.83,82.55,4.1,NSC/RSC,Rukum
2074-6-5,2017-09-21,13:04,07:19,27.62,86.25,4.6,NSC,Dolakha
2074-5-8,2017-08-24,16:25,10:40,28.06,85.94,4.8,NSC,Sindhupalchok-Tibet border
2075-9-8,2018-12-22,05:06,23:21,27.85,85.76,4.7,NSC,Sindhupalchok
2075-7-8,2018-10-25,07:07,01:22,27.72,86.02,4.0,NSC,Sindhupalchok/Dolakha
2075-6-20,2018-10-06,10:52,05:07,28.94,81.72,4.3,RSC/NSC,Dailekh
2072-8-21,2015-12-07,07:27,01:42,27.86,86.19,4,NSC,Dolakha
2072-8-14,2015-11-30,06:10,00:25,27.78,85.39,4.1,NSC,Kathmandu
2072-8-11,2015-11-27,15:23,09:38,27.63,85.53,4.1,NSC,kavrepalanchok
2072-8-11,2015-11-27,16:22,10:37,27.11,87.95,4.6,NSC,Panchthar
2072-8-10,2015-11-25,00:42,18:57,27.87,85.77,4.1,NSC,Sindhupalchowk
2072-8-8,2015-11-24,18:09,12:24,28.15,84.81,4.4,NSC,Gorkha
2064-2-22,2007-06-04,11:00,05:15,27.44,83.89,4.2,NSC,Nepal-India Border
2064-2-3,2007-05-16,11:00,05:15,27.5,88.08,4.6,NSC,Nepal-India Border
2063-11-27,2007-03-10,11:00,05:15,29.47,81.73,4.5,NSC,Bajhang
2063-11-4,2007-02-15,11:00,05:15,29.83,81.45,5,NSC,Bajhang
2063-10-24,2007-02-06,11:00,05:15,28.36,83.43,4.2,NSC,Myagdi
2073-6-21,2016-10-07,10:37,04:52,27.65,86.13,4.2,NSc,Dolakha
2073-6-2,2016-09-18,22:57,17:12,27.91,85.77,4.6,NSC,Sindhupalchowk
2073-5-20,2016-09-05,06:22,00:37,27.82,86.14,4.1,NSC,Dolakha
2073-5-20,2016-09-05,07:49,02:04,27.78,86.35,4.5,NSC,Dolakha
2073-5-11,2016-08-27,17:48,12:03,29.81,81.56,4,RSC/NSC,Bajura
2074-5-6,2017-08-22,06:35,00:50,29.41,81.1,4.9,RSC/NSC,Bajhang
2074-5-5,2017-08-21,17:48,12:03,27.66,86.27,4.6,NSC,Dolakha
2074-4-9,2017-07-24,10:29,04:44,27.56,85.96,4,NSC,Dolakha
2074-4-1,2017-07-15,22:20,16:35,28.94,81.75,4,NSC/RSC,Dailekh
2074-3-18,2017-07-02,07:43,01:58,27.34,86.49,5.1,NSC,Okhaldhunga
2075-6-19,2018-10-05,21:45,16:00,28.93,81.70,4.0,RSC/NSC,Dailekh
2075-6-19,2018-10-05,12:53,07:08,28.94,81.74,4.0,RSC/NSC,Dailekh
2075-6-4,2018-09-19,01:42,19:57,28.57,82.88,4.0,NSC,East Rukum
2075-5-13,2018-08-29,23:35,17:50,27.79,87.41,4.2,NSC,Sankhuwasabha
2075-5-8,2018-08-24,18:16,12:31,27.50,88.04,4.5,NSC,Taplejung
2072-8-8,2015-11-24,17:00,11:15,27.87,85.29,4,NSC,Nuwakot
2072-8-7,2015-11-22,19:11,13:26,28.43,83.3,4.1,NSC/RSC,Myagdi
2072-8-5,2015-11-20,13:45,08:00,28.35,83.36,4,NSC/RSC,Baglung
2072-8-3,2015-11-19,17:44,11:59,27.77,85.88,4,NSC,Sindhupalchok
2072-8-3,2015-11-19,10:00,04:15,27.89,85.75,5.3,NSC,Sindupalchok
2072-8-1,2015-11-17,18:55,13:10,28.02,85.28,4.3,NSC,Rasuwa
2051-8-28,1994-12-13,11:00,05:15,28.7,82.88,4.6,N/A,Rukum
2051-8-27,1994-12-12,11:00,05:15,29.84,80.69,4.6,N/A,Darchula
2051-8-12,1994-11-27,11:00,05:15,29.72,81.56,4.5,N/A,Bajura
2051-8-6,1994-11-21,11:00,05:15,29.54,81.15,4.2,N/A,Bajhang
2051-7-8,1994-10-24,11:00,05:15,28.92,82,4.7,N/A,Jajarkot
2051-7-6,1994-10-22,11:00,05:15,29,82.26,4.6,N/A,Jajarkot
2051-6-10,1994-09-25,11:00,05:15,28.34,87.35,4.8,N/A,Sankhuwasabha
2063-10-24,2007-02-06,11:00,05:15,28.35,83.43,4.1,NSC,Myagdi
2063-10-23,2007-02-05,11:00,05:15,30.1,81.05,4.2,NSC,Darchula
2073-4-8,2016-07-23,11:59,06:14,27.99,84.71,4.1,NSC,Gorkha
2073-3-25,2016-07-08,04:08,22:23,27.84,86.16,4.1,NSC,Dolakha
2073-3-23,2016-07-07,17:38,11:53,27.92,85.66,4.4,NSC,Sindhupalchowk
2073-3-23,2016-07-07,14:44,08:59,28.31,84.35,4.3,NSC/RSC,Lamjung
2073-3-18,2016-07-02,06:08,00:23,29.64,81.28,4.4,RSC/NSC,Bajhang
2073-3-16,2016-06-29,14:55,09:10,29.63,81.28,5,RSC/NSC,Bajhang
2073-3-16,2016-06-29,15:11,09:26,29.63,81.24,4.2,RSC/NSC,Bajhang
2074-3-15,2017-06-28,00:09,18:24,27.66,86.41,4.2,NSC,Ramechhap
2074-3-1,2017-06-14,09:27,03:42,27.88,88.13,4.1,NSC,Taplejung-Tibet Border
2074-2-29,2017-06-12,17:39,11:54,27.62,86.1,4.1,NSC,Dolakha
2074-2-17,2017-05-30,23:23,17:38,29.64,80.97,4.1,RSC/NSC,Bajhang
2074-1-12,2017-04-24,20:49,15:04,29.75,81.31,4.1,NSC/RSC,Bajhang
2074-1-11,2017-04-24,17:04,11:19,27.86,85.77,4.2,NSC,Sindhupalchowk
2073-11-28,2017-03-10,07:28,01:43,30.37,81.57,4.1,RSC/NSC,Humla
2075-4-17,2018-08-02,14:32,08:47,27.66,86.10,4.2,NSC,Dolakha
2075-4-8,2018-07-24,17:44,11:59,27.94,85.51,4.3,NSC,Sindhupalchok
2075-4-8,2018-07-24,08:30,02:45,27.75,84.87,4.8,NSC,Dhading
2075-4-2,2018-07-18,11:15,05:30,29.02,81.51,4.2,RSC/NSC,Dailekh
2075-4-1,2018-07-17,22:52,17:07,27.82,84.81,4.4,NSC,Dhading
2075-3-29,2018-07-13,08:58,03:13,29.57,81.56,4.1,RSC/NSC,Bajura
2075-3-21,2018-07-05,07:21,01:36,28.11,85.04,4.1,NSC,Dhading
2072-7-26,2015-11-12,15:45,10:00,27.99,85.65,4.2,NSC,Sindupalchok
2072-7-14,2015-10-31,09:28,03:43,28.03,85.23,4.3,NSC,Rasuwa
2072-6-30,2015-10-17,23:46,18:01,27.8,86.3,4.2,NSC,Dolakha
2072-6-29,2015-10-16,14:28,08:43,27.71,86.16,4.2,NSC,Dolakha
2072-6-21,2015-10-08,21:58,16:13,27.96,85.54,4.1,NSC,Sindupalchowk
2072-6-21,2015-10-08,13:00,07:15,27.57,85.31,4,NSC,Lalitpur
2051-5-16,1994-08-31,11:00,05:15,26.09,79.51,6,N/A,India
2051-4-3,1994-07-17,11:00,05:15,29.37,81.52,5.5,N/A,Bajura
2051-3-11,1994-06-25,05:45,00:00,27.75,86.16,5.1,N/A,Dolakha
2073-3-8,2016-06-22,18:45,13:00,27.76,86.34,4.1,NSC,Dolakha
2073-3-7,2016-06-21,11:34,05:49,27.93,85.21,4.4,NSC,Nuwakot
2073-3-1,2016-06-14,05:12,23:27,28.03,84.64,4.3,NSC,Gorkha
2073-2-22,2016-06-03,05:10,23:25,27.96,85.62,4.4,NSC,Sindhupalchowk
2073-2-15,2016-05-28,15:24,09:39,27.94,85.5,4.6,NSC/RSC,Sindhupalchok
2073-2-12,2016-05-24,00:54,19:09,27.73,85.16,4.2,NSC/RSC,Dhading
2073-11-16,2017-02-27,10:06,04:21,27.38,86.13,4.7,NSC,Ramechhap
2073-11-16,2017-02-27,09:22,03:37,27.36,86.12,4.6,NSC,Ramechhap
2073-11-7,2017-02-18,06:00,00:15,27.79,84.8,4,NSC,Dhading
2073-10-28,2017-02-10,16:58,11:13,29.88,80.61,4.1,NSC/RSC,Darchula
2073-10-22,2017-02-04,17:58,12:13,27.73,86.08,4.4,NSC,Dolakha
2073-9-20,2017-01-03,00:26,18:41,29.71,81.57,4,RSC/NSC,Bajura
2075-3-14,2018-06-28,09:52,04:07,27.87,84.91,5.0,NSC,Dhading
2075-3-6,2018-06-20,10:00,04:15,27.31,87.9,4.7,NSC,Taplejung
2075-3-6,2018-06-20,09:54,04:09,27.36,88.01,4.8,NSC,Taplejung
2075-2-22,2018-06-05,07:19,01:34,29.68,81.65,4.9,RSC/NSC ,Bajura
2075-2-18,2018-06-01,21:07,15:22,27.68,86.11,4.3,NSC,Dolakha
2075-2-17,2018-05-31,21:45,16:00,28.90,81.77,4.3,RSC/NSC,Dailekh
2075-2-18,2018-05-31,02:17,20:32,28.17,84.89,4.1,NSC,gorkha
2075-2-10,2018-05-24,20:10,14:25,29.98,80.54,4.6,RSC/NSC,Dharchula
2072-6-21,2015-10-07,05:15,23:30,27.68,86.08,4.2,NSC,Dolakha
2072-6-19,2015-10-06,17:47,12:02,27.69,86.09,4.2,NSC,Dolakha
2072-6-18,2015-10-05,13:18,07:33,27.71,86.15,4.8,NSC,Dolakha
2072-6-18,2015-10-05,13:21,07:36,27.71,86.1,4.2,NSC,Dolakha
2072-6-12,2015-09-29,16:39,10:54,27.77,85.87,4.6,NSC,Sindhupalchowk
2072-6-13,2015-09-29,15:12,09:27,29.83,80.6,4.6,RSC,Darchula
2073-2-3,2016-05-15,04:30,22:45,27.93,85.5,4.4,NSC/RSC,Sindhupalchowk
2073-2-2,2016-05-14,05:05,23:20,27.97,85.55,4.3,NSC,Sindhupalchowk
2073-2-1,2016-05-13,01:09,19:24,27.69,86.24,4.1,NSC,Dolakha
2073-1-29,2016-05-11,14:37,08:52,28.01,84.68,4.5,NSC,Gorkha
2073-1-29,2016-05-11,07:04,01:19,28.01,84.94,4.4,NSC,Dhading
2073-1-23,2016-05-05,10:31,04:46,28.24,84.99,4.1,NSC,Gorkha/Dhading
2073-1-23,2016-05-04,11:17,05:32,29.38,81.88,4,RSC/NSC,Kalikot
2073-1-19,2016-04-30,12:28,06:43,29.54,81.1,4.2,RSC/NSC,Bajhang
2075-1-22,2018-05-05,20:49,15:04,27.74,88.13,4.4,NSC,Taplejung
2074-11-18,2018-03-02,10:51,05:06,27.70,86.33,4.6,NSC,Dolakha
2074-11-15,2018-02-26,00:45,19:00,27.7,86.33,4.7,NSC,Dolakha
2074-11-9,2018-02-21,21:44,15:59,28.07,85.96,4.3,NSC,Tibet	
2074-10-5,2018-01-19,08:38,02:53,27.72,86.01,4.3,NSC,Dolakha
2065-9-15,2008-12-29,11:00,05:15,30.13,82.03,4,NSC,Humla
2065-9-12,2008-12-26,11:00,05:15,30.09,81.9,4.5,NSC,Humla
2065-9-9,2008-12-23,11:00,05:15,28.19,84.39,4.4,NSC,Lamjung
2065-9-5,2008-12-19,11:00,05:15,30.1,81.91,4.4,NSC,Humla
2065-8-24,2008-12-08,11:00,05:15,30.15,81.86,6,NSC,Humla
2065-8-18,2008-12-02,11:00,05:15,27.32,87.99,5.4,NSC,Taplejung
2072-6-5,2015-09-22,12:17,06:32,27.74,85.07,4.5,NSC,Dhading
2072-6-4,2015-09-20,04:05,22:20,27.76,86.37,4,NSC,Dolakha
2072-5-30,2015-09-16,20:37,14:52,27.6,86.19,4.2,NSC,Dolakha
2072-5-23,2015-09-09,18:23,12:38,27.82,86.24,4,NSC,Dolakha
2072-5-18,2015-09-03,05:10,23:25,27.75,86.01,4.3,NSC,Sindhupalchowk
2072-5-17,2015-09-02,04:51,23:06,27.64,86.19,4.4,NSC,Dolakha
2073-1-14,2016-04-26,15:18,09:33,28.05,85.38,4.3,NSC,Rasuwa
2073-1-13,2016-04-24,02:16,20:31,28.08,85.13,4.2,NSC,Nuwakot
2073-1-10,2016-04-22,16:49,11:04,27.79,85.85,4,NSC,Sindhupalchowk
2073-1-10,2016-04-22,12:41,06:56,27.72,86.29,4,NSC,Dolakha
2072-12-30,2016-04-12,20:26,14:41,27.56,86.17,4.4,NSC,Dolakha
2072-12-27,2016-04-09,19:05,13:20,27.65,85.31,4.5,NSC,Lalitpur
2072-12-23,2016-04-04,09:40,03:55,29.81,81.51,4.3,RSC/NSC,Bajhang
2072-12-22,2016-04-04,10:16,04:31,27.72,86.09,4.7,NSC,Dolakha
2072-12-19,2016-03-31,04:26,22:41,27.93,85.59,4,NSC,Sindhupalchowk
2065-8-18,2008-12-02,11:00,05:15,27.3,88.03,4,NSC,Taplejung
2065-8-18,2008-12-02,11:00,05:15,27.3,87.99,4,NSC,Taplejung
2065-8-18,2008-12-02,11:00,05:15,27.29,87.92,4.3,NSC,Taplejung
2065-8-18,2008-12-02,11:00,05:15,27.34,87.92,4.1,NSC,Taplejung
2065-8-17,2008-12-01,11:00,05:15,28.18,85.29,4.8,NSC,Rasuwa
2065-6-22,2008-10-07,11:00,05:15,27.47,87.71,4.5,NSC,Taplejung
2065-5-26,2008-09-10,11:00,05:15,28.4,83.01,4.1,NSC,Baglung
2065-4-19,2008-08-02,11:00,05:15,28.18,85.29,4.4,NSC,Bajura
2065-3-7,2008-06-20,11:00,05:15,27.98,85.73,4.8,NSC,Sindhupalchowk
2072-5-14,2015-08-31,23:33,17:48,27.92,85.69,4.2,NSC,Sindhupalchowk
2072-5-13,2015-08-30,19:02,13:17,27.72,85.75,5,NSC,Sindhupalchowk
2072-5-13,2015-08-30,08:26,02:41,27.66,86.23,4.1,NSC,Dolakha
2072-5-14,2015-08-30,03:09,21:24,27.92,84.94,4.3,NSC,Dhading
2072-5-10,2015-08-27,06:07,00:22,28.12,84.89,4.1,NSC,Gorkha
2072-5-11,2015-08-27,00:51,19:06,27.85,85.74,4.2,NSC,Sindhupalchowk
2072-5-10,2015-08-26,13:31,07:46,30.11,81.53,4.1,RSC,Humla
2072-5-8,2015-08-25,15:08,09:23,27.68,86.22,4,NSC,Dolakha
2072-12-17,2016-03-30,18:11,12:26,27.89,85.73,4.7,NSC,Sindhupalchowk
2072-12-12,2016-03-24,05:26,23:41,27.75,88.04,4.1,NSC,Taplejung
2072-12-4,2016-03-17,10:59,05:14,27.34,86.27,4,NSC,Okhaldhunga
2072-12-3,2016-03-15,03:12,21:27,27.84,85.73,4.5,NSC,Sindhupalchowk
2072-11-30,2016-03-13,11:00,05:15,27.83,84.9,4.8,NSC,Dhading
2072-11-28,2016-03-11,15:13,09:28,27.9,85.87,4.2,NSC,Sindhupalchowk
2072-11-25,2016-03-07,13:50,08:05,30.22,81.7,4.4,NSC/RSC,Humla
2072-11-23,2016-03-06,07:10,01:25,27.69,85.93,4,NSC,Sindhupalchowk
