Airport,ShortName,Location,Country,Size
Obock Airport,OBC,Obock,Djibouti,1
Tadjoura Airport,TDJ,Tadjoura,Djibouti,1
Port Gentil Airport,POG,Port Gentil,Gabon,1
Sette Cama Airport,ZKM,Sette Cama,Gabon,1
Tchibanga Airport,TCH,Tchibanga,Gabon,1
Wagny Airport,WGY,Wagny,Gabon,1
Wora Na Ye Airport,WNE,Wora Na Ye,Gabon,1
Abengourou Airport,OGO,Abengourou,Côte d'Ivoire,1
Felix Houphouet Boigny Airport,ABJ,Abidjan,Côte d'Ivoire,2
Lalibela Airport,LLI,Lalibela,Ethiopia,1
Makale Airport,MQX,Makale,Ethiopia,1
Massawa Airport,MSW,Massawa,Ethiopia,1
Mekane Selam Airport,MKS,Mekane Selam,Ethiopia,1
Mena Airport,MZX,Mena,Ethiopia,1
Mendi Airport,NDM,Mendi,Ethiopia,1
Misrak Gashamo Airport,MHJ,Misrak Gashamo,Ethiopia,1
Mizan Teferi Airport,MTF,Mizan Teferi,Ethiopia,1
Mota Airport,OTA,Mota,Ethiopia,1
Bandundu Airport,FDU,Bandundu,Congo-Kinshasa (Zaïre),1
Basankusu Airport,BSU,Basankusu,Congo-Kinshasa (Zaïre),1
Basongo Airport,BAN,Basongo,Congo-Kinshasa (Zaïre),1
Beni Airport,BNC,Beni,Congo-Kinshasa (Zaïre),1
Boende Airport,BNB,Boende,Congo-Kinshasa (Zaïre),1
Boma Airport,BOA,Boma,Congo-Kinshasa (Zaïre),1
Kamenbe Airport,BKY,Bukavu,Congo-Kinshasa (Zaïre),1
Sao Jose Dos Campos Airport,SJK,Sao Jose Dos Campos,Brazil,1
Sao Lourenco Airport,SSO,Sao Lourenco,Brazil,1
Sao Lourenco Do Sul Airport,SQY,Sao Lourenco Do Sul,Brazil,1
Mal. Cunha Machado Airport,SLZ,Sao Luiz,Brazil,2
Aboisso Airport,ABO,Aboisso,Côte d'Ivoire,1
Bereby Airport,BBV,Bereby,Côte d'Ivoire,1
Bondoukou Airport,BDK,Bondoukou,Côte d'Ivoire,1
Bongouanou Airport,BGG,Bongouanou,Côte d'Ivoire,1
Borotou Airport,BRZ,Borotou,Côte d'Ivoire,1
Bouake Airport,BYK,Bouake,Côte d'Ivoire,1
Bouna Airport,BQO,Bouna,Côte d'Ivoire,1
Boundiali Airport,BXI,Boundiali,Côte d'Ivoire,1
Buyo Airport,BUU,Buyo,Côte d'Ivoire,1
Moyale Airport,MYS,Moyale,Ethiopia,1
Mui Airport,MUJ,Mui,Ethiopia,1
Neghelli Airport,EGL,Neghelli,Ethiopia,1
Nejjo Airport,NEJ,Nejjo,Ethiopia,1
Nekemt Airport,NEK,Nekemt,Ethiopia,1
Beles Airport,PWI,Pawi,Ethiopia,1
Semera Airport,SZE,Semera,Ethiopia,1
Shakiso Airport,SKR,Shakiso,Ethiopia,1
Shehdi Airport,SQJ,Shehdi,Ethiopia,1
Bumba Airport,BMB,Bumba,Congo-Kinshasa (Zaïre),1
Bunia Airport,BUX,Bunia,Congo-Kinshasa (Zaïre),1
Buta Airport,BZU,Buta,Congo-Kinshasa (Zaïre),1
Dili Airport,DIC,Dili,Congo-Kinshasa (Zaïre),1
Ouani Airport,AJN,Anjouan,Comoros,1
Dzaoudzi Airport,DZA,Dzaoudzi,Comoros,1
Moheli Airport,NWA,Moheli,Comoros,1
Iconi Airport,YVA,Moroni,Comoros,1
Prince Said Ibrahim In Airport,HAH,Moroni,Comoros,1
Sao Mateus Airport,SBJ,Sao Mateus,Brazil,1
Sao Miguel Araguaia Airport,SQM,Sao Miguel Araguaia,Brazil,1
Sao Miguel Do Oeste Airport,SQX,Sao Miguel Do Oeste,Brazil,1
Congonhas Airport,CGH,Sao Paulo,Brazil,2
Guarulhos International Airport,GRU,Sao Paulo,Brazil,4
Viracopos Airport,VCP,Sao Paulo,Brazil,1
Sena Madureira Airport,ZMD,Sena Madureira,Brazil,1
Senhor Do Bonfim Airport,SEI,Senhor Do Bonfim,Brazil,1
Betou Airport,BTB,Betou,Congo,1
Boundji Airport,BOE,Boundji,Congo,1
Maya Maya Airport,BZV,Brazzaville,Congo,2
Djambala Airport,DJM,Djambala,Congo,1
Epena Airport,EPN,Epena,Congo,1
Ewo Airport,EWO,Ewo,Congo,1
Gamboma Airport,GMM,Gamboma,Congo,1
Abecher Airport,AEH,Abecher,Chad,1
Abou Deia Airport,AOD,Abou Deia,Chad,1
Am Timan Airport,AMC,Am Timan,Chad,1
Ati Airport,ATV,Ati,Chad,1
Bokoro Airport,BKR,Bokoro,Chad,1
Bol Airport,OTC,Bol,Chad,1
Bongor Airport,OGR,Bongor,Chad,1
Bousso Airport,OUT,Bousso,Chad,1
Faya Airport,FYT,Faya,Chad,1
Daloa Airport,DJO,Daloa,Côte d'Ivoire,1
Danane Airport,DNC,Danane,Côte d'Ivoire,1
Dimbokro Airport,DIM,Dimbokro,Côte d'Ivoire,1
Divo Airport,DIV,Divo,Côte d'Ivoire,1
Ferkessedougou Airport,FEK,Ferkessedougou,Côte d'Ivoire,1
Shillavo Airport,HIL,Shillavo,Ethiopia,1
Soddu Airport,SXU,Soddu,Ethiopia,1
Tippi Airport,TIE,Tippi,Ethiopia,1
Tum Airport,TUJ,Tum,Ethiopia,1
Waca Airport,WAC,Waca,Ethiopia,1
Warder Airport,WRA,Warder,Ethiopia,1
Gandajika Airport,GDJ,Gandajika,Congo-Kinshasa (Zaïre),1
Gbadolite Airport,BDT,Gbadolite,Congo-Kinshasa (Zaïre),1
Gemena Airport,GMA,Gemena,Congo-Kinshasa (Zaïre),1
Goma Airport,GOM,Goma,Congo-Kinshasa (Zaïre),1
Idiofa Airport,IDF,Idiofa,Congo-Kinshasa (Zaïre),1
Ikela Airport,IKL,Ikela,Congo-Kinshasa (Zaïre),1
Ilebo Airport,PFR,Ilebo,Congo-Kinshasa (Zaïre),1
Inongo Airport,INO,Inongo,Congo-Kinshasa (Zaïre),1
Serra Norte Airport,RRN,Serra Norte,Brazil,1
Serra Pelada Airport,RSG,Serra Pelada,Brazil,1
Sinop Airport,OPS,Sinop,Brazil,1
Sorocaba Airport,SOD,Sorocaba,Brazil,1
Soure Airport,SFK,Soure,Brazil,1
Suia-Missu Airport,SWM,Suia-Missu,Brazil,1
Sumare Airport,RWS,Sumare,Brazil,1
Internacional Airport,TBT,Tabatinga,Brazil,1
Tangara da Serra Airport,TGQ,Tangara da Serra,Brazil,1
Impfondo Airport,ION,Impfondo,Congo,1
Kelle Airport,KEE,Kelle,Congo,1
Kindamba Airport,KNJ,Kindamba,Congo,1
Lague Airport,LCO,Lague,Congo,1
Lekana Airport,LKC,Lekana,Congo,1
Lai Airport,LTC,Lai,Chad,1
Mao Airport,AMO,Mao,Chad,1
Melfi Airport,MEF,Melfi,Chad,1
Mongo Airport,MVO,Mongo,Chad,1
Moundou Airport,MQQ,Moundou,Chad,1
Ndjamena Airport,NDJ,Ndjamena,Chad,2
Oum Hadjer Airport,OUM,Oum Hadjer,Chad,1
Pala Airport,PLF,Pala,Chad,1
Gagnoa Airport,GGN,Gagnoa,Côte d'Ivoire,1
Guiglo Airport,GGO,Guiglo,Côte d'Ivoire,1
Katiola Airport,KTC,Katiola,Côte d'Ivoire,1
Korhogo Airport,HGO,Korhogo,Côte d'Ivoire,1
Lakota Airport,LKT,Lakota,Côte d'Ivoire,1
Man Airport,MJC,Man,Côte d'Ivoire,1
Mankono Airport,MOK,Mankono,Côte d'Ivoire,1
Odienne Airport,KEO,Odienne,Côte d'Ivoire,1
Ouango Fitini Airport,OFI,Ouango Fitini,Côte d'Ivoire,1
San Pedro Airport,SPY,San Pedro,Côte d'Ivoire,1
Matari Airport,IRP,Isiro,Congo-Kinshasa (Zaïre),1
Kabalo Airport,KBO,Kabalo,Congo-Kinshasa (Zaïre),1
Kabinda Airport,KBN,Kabinda,Congo-Kinshasa (Zaïre),1
Kalemie Airport,FMI,Kalemie,Congo-Kinshasa (Zaïre),1
Tarauaca Airport,TRQ,Tarauaca,Brazil,1
Tefe Airport,TFF,Tefe,Brazil,1
Teixeira de Freitas Airport,TXF,Teixeira de Freitas,Brazil,1
Telemaco Borba Airport,TEC,Telemaco Borba,Brazil,1
Teofilo Otoni Airport,TFL,Teofilo Otoni,Brazil,1
Teresina Airport,THE,Teresina,Brazil,2
Toledo Airport,TOW,Toledo,Brazil,1
Torres Airport,TSQ,Torres,Brazil,1
Trombetas Airport,TMT,Trombetas,Brazil,1
Loubomo Airport,DIS,Loubomo,Congo,1
Makabana Airport,KMK,Makabana,Congo,1
Makoua Airport,MKJ,Makoua,Congo,1
Mossendjo Airport,MSX,Mossendjo,Congo,1
Mouyondzi Airport,MUY,Mouyondzi,Congo,1
Nkayi Airport,NKY,Nkayi,Congo,1
Okoyo Airport,OKG,Okoyo,Congo,1
Ouesso Airport,OUE,Ouesso,Congo,1
Owando Airport,FTX,Owando,Congo,1
Pointe Noire Airport,PNR,Pointe Noire,Congo,1
Sarh Airport,SRH,Sarh,Chad,1
Zakouma Airport,AKM,Zakouma,Chad,1
Sassandra Airport,ZSS,Sassandra,Côte d'Ivoire,1
Seguela Airport,SEO,Seguela,Côte d'Ivoire,1
Taabo Airport,TBX,Taabo,Côte d'Ivoire,1
Tabou Airport,TXU,Tabou,Côte d'Ivoire,1
Tingrela Airport,TGX,Tingrela,Côte d'Ivoire,1
Touba Airport,TOZ,Touba,Côte d'Ivoire,1
Yamoussoukro Airport,ASK,Yamoussoukro,Côte d'Ivoire,1
Zuenoula Airport,ZUE,Zuenoula,Côte d'Ivoire,1
Kalima Airport,KLY,Kalima,Congo-Kinshasa (Zaïre),1
Kamina Airport,KMN,Kamina,Congo-Kinshasa (Zaïre),1
Kananga Airport,KGA,Kananga,Congo-Kinshasa (Zaïre),1
Kaniama Airport,KNM,Kaniama,Congo-Kinshasa (Zaïre),1
Kapanga Airport,KAP,Kapanga,Congo-Kinshasa (Zaïre),1
Tucuma Airport,TUZ,Tucuma,Brazil,1
Tucurui Airport,TUR,Tucurui,Brazil,1
Ubatuba Airport,UBT,Ubatuba,Brazil,1
Uberaba Airport,UBA,Uberaba,Brazil,1
Eduardo Gomes Airport,UDI,Uberlandia,Brazil,1
Ernesto Geisel Airport,UMU,Umuarama,Brazil,1
Una Airport,UNA,Una,Brazil,1
Ernesto Pochler Airport,URB,Urubupunga,Brazil,1
Ruben Berta Airport,URG,Uruguaiana,Brazil,1
Sibiti Airport,SIB,Sibiti,Congo,1
Souanke Airport,SOE,Souanke,Congo,1
Zanaga Airport,ANJ,Zanaga,Congo,1
Kasenga Airport,KEC,Kasenga,Congo-Kinshasa (Zaïre),1
Kasongo Lunda Airport,KGN,Kasongo Lunda,Congo-Kinshasa (Zaïre),1
Kikwit Airport,KKW,Kikwit,Congo-Kinshasa (Zaïre),1
Kilwa Airport,KIL,Kilwa,Congo-Kinshasa (Zaïre),1
Kindu Airport,KND,Kindu,Congo-Kinshasa (Zaïre),1
N'Djili International Airport,FIH,Kinshasa,Congo-Kinshasa (Zaïre),2
Valenca Airport,VAL,Valenca,Brazil,1
Major Brigadier Trompowsky Airport,VAG,Varginha,Brazil,1
Videira Airport,VIA,Videira,Brazil,1
Municipal Airport,VLP,Vila Rica,Brazil,1
Vilhena Airport,BVH,Vilhena,Brazil,1
Eurico Sales Airport,VIX,Vitoria,Brazil,2
Vitoria Da Conquista Airport,VDC,Vitoria Da Conquista,Brazil,1
Kiri Airport,KRZ,Kiri,Congo-Kinshasa (Zaïre),1
Kisangani Airport,FKI,Kisangani,Congo-Kinshasa (Zaïre),1
Kolwezi Airport,KWZ,Kolwezi,Congo-Kinshasa (Zaïre),1
Kongolo Airport,KOO,Kongolo,Congo-Kinshasa (Zaïre),1
Kota Koli Airport,KLI,Kota Koli,Congo-Kinshasa (Zaïre),1
Libenge Airport,LIE,Libenge,Congo-Kinshasa (Zaïre),1
Lisala Airport,LIQ,Lisala,Congo-Kinshasa (Zaïre),1
Lodja Airport,LJA,Lodja,Congo-Kinshasa (Zaïre),1
Luano Airport,FBM,Lubumbashi,Congo-Kinshasa (Zaïre),2
Luiza Airport,LZA,Luiza,Congo-Kinshasa (Zaïre),1
Bakouma Airport,BMF,Bakouma,Central African Republic,1
Bambari Airport,BBY,Bambari,Central African Republic,1
Bangassou Airport,BGU,Bangassou,Central African Republic,1
Bangui Airport,BGF,Bangui,Central African Republic,2
Batangafo Airport,BTG,Batangafo,Central African Republic,1
Berberati Airport,BBT,Berberati,Central African Republic,1
Birao Airport,IRO,Birao,Central African Republic,1
Rabil Airport,BVC,Boa Vista,Cape Verde,1
Esperadinha Airport,BVR,Brava,Cape Verde,1
Vila Do Maio Airport,MMO,Maio,Cape Verde,1
Mosteiros Airport,MTI,Mosteiros,Cape Verde,1
Francisco Mendes Airport,RAI,Praia,Cape Verde,1
Amilcar Cabral International Airport,SID,Sal,Cape Verde,2
Santo Antao Airport,NTO,Santo Antao,Cape Verde,1
Sao Filipe Airport,SFL,Sao Filipe,Cape Verde,1
Votuporanga Airport,VOT,Votuporanga,Brazil,1
Xanxere Airport,AXE,Xanxere,Brazil,1
Municipal Airport,XIG,Xinguara,Brazil,1
Bafoussam Airport,BFX,Bafoussam,Cameroon,1
Bali Airport,BLC,Bali,Cameroon,1
Bamenda Airport,BPC,Bamenda,Cameroon,1
Bujumbura International Airport,BJM,Bujumbura,Burundi,2
Gitega Airport,GID,Gitega,Burundi,1
Kirundo Airport,KRE,Kirundo,Burundi,1
Luozi Airport,LZI,Luozi,Congo-Kinshasa (Zaïre),1
Lusambo Airport,LBO,Lusambo,Congo-Kinshasa (Zaïre),1
Lusanga Airport,LUS,Lusanga,Congo-Kinshasa (Zaïre),1
Manono Airport,MNO,Manono,Congo-Kinshasa (Zaïre),1
Masi Manimba Airport,MSM,Masi Manimba,Congo-Kinshasa (Zaïre),1
Matadi Airport,MAT,Matadi,Congo-Kinshasa (Zaïre),1
Mbandaka Airport,MDK,Mbandaka,Congo-Kinshasa (Zaïre),1
Mbuji Mayi Airport,MJM,Mbuji Mayi,Congo-Kinshasa (Zaïre),1
Moanda Airport,MNB,Moanda,Congo-Kinshasa (Zaïre),1
Aribinda Airport,XAR,Aribinda,Burkina Faso,1
Arly Airport,ARL,Arly,Burkina Faso,1
Banfora Airport,BNR,Banfora,Burkina Faso,1
Borgo Airport,BOY,Bobo Dioulasso,Burkina Faso,1
Bogande Airport,XBG,Bogande,Burkina Faso,1
Boulsa Airport,XBO,Boulsa,Burkina Faso,1
Dedougou Airport,DGU,Dedougou,Burkina Faso,1
Diapaga Airport,DIP,Diapaga,Burkina Faso,1
Bossangoa Airport,BSN,Bossangoa,Central African Republic,1
Bossembele Airport,BEM,Bossembele,Central African Republic,1
Bouar Airport,BOP,Bouar,Central African Republic,1
Bouca Airport,BCF,Bouca,Central African Republic,1
Bozoum Airport,BOZ,Bozoum,Central African Republic,1
Bria Airport,BIV,Bria,Central African Republic,1
Carnot Airport,CRF,Carnot,Central African Republic,1
Gordil Airport,GDI,Gordil,Central African Republic,1
Gounda Airport,GDA,Gounda,Central African Republic,1
Preguica Airport,SNE,Sao Nicolau,Cape Verde,1
San Pedro Airport,VXE,Sao Vicente,Cape Verde,1
Batouri Airport,OUR,Batouri,Cameroon,1
Bertoua Airport,BTA,Bertoua,Cameroon,1
Douala Airport,DLA,Douala,Cameroon,2
Dschang Airport,DSC,Dschang,Cameroon,1
Ebolowa Airport,EBW,Ebolowa,Cameroon,1
Foumban Airport,FOM,Foumban,Cameroon,1
Garoua Airport,GOU,Garoua,Cameroon,1
Kaele Airport,KLE,Kaele,Cameroon,1
Moba Airport,BDV,Moba,Congo-Kinshasa (Zaïre),1
Mweka Airport,MEW,Mweka,Congo-Kinshasa (Zaïre),1
Nioki Airport,NIO,Nioki,Congo-Kinshasa (Zaïre),1
Nkolo Airport,NKL,Nkolo,Congo-Kinshasa (Zaïre),1
Punia Airport,PUN,Punia,Congo-Kinshasa (Zaïre),1
Pweto Airport,PWO,Pweto,Congo-Kinshasa (Zaïre),1
Tshikapa Airport,TSH,Tshikapa,Congo-Kinshasa (Zaïre),1
Yangambi Airport,YAN,Yangambi,Congo-Kinshasa (Zaïre),1
Diebougou Airport,XDE,Diebougou,Burkina Faso,1
Djibo Airport,XDJ,Djibo,Burkina Faso,1
Dori Airport,DOR,Dori,Burkina Faso,1
Fada Ngourma Airport,FNG,Fada Ngourma,Burkina Faso,1
Gaoua Airport,XGA,Gaoua,Burkina Faso,1
Gorom-Gorom Airport,XGG,Gorom-Gorom,Burkina Faso,1
Kantchari Airport,XKA,Kantchari,Burkina Faso,1
Kaya Airport,XKY,Kaya,Burkina Faso,1
Kawadjia Airport,KWD,Kawadjia,Central African Republic,1
Koumala Airport,KOL,Koumala,Central African Republic,1
Ndele Airport,NDL,Ndele,Central African Republic,1
Ouadda Airport,ODA,Ouadda,Central African Republic,1
Ouanda Djalle Airport,ODJ,Ouanda Djalle,Central African Republic,1
Rafai Airport,RFA,Rafai,Central African Republic,1
Koutaba Airport,KOB,Koutaba,Cameroon,1
Kribi Airport,KBI,Kribi,Cameroon,1
Limbe Airport,VCC,Limbe,Cameroon,1
Mamfe Airport,MMF,Mamfe,Cameroon,1
Salam Airport,MVR,Maroua,Cameroon,1
Ngaoundere Airport,NGE,Ngaoundere,Cameroon,1
Nkongsamba Airport,NKS,Nkongsamba,Cameroon,1
Francistown Airport,FRW,Francistown,Botswana,1
Sir Seretse Khama Int Airport,GBE,Gaborone,Botswana,1
Ghanzi Airport,GNZ,Ghanzi,Botswana,1
Hukuntsi Airport,HUK,Hukuntsi,Botswana,1
Jwaneng Airport,JWA,Jwaneng,Botswana,1
Kasane Airport,BBK,Kasane,Botswana,1
Khwai River Lodge Airport,KHW,Khwai River Lodge,Botswana,1
Lobatse Airport,LOQ,Lobatse,Botswana,1
Cotonou Airport,COO,Cotonou,Benin,2
Djougou Airport,DJA,Djougou,Benin,1
Kandi Airport,KDC,Kandi,Benin,1
Natitingou Airport,NAE,Natitingou,Benin,1
Parakou Airport,PKO,Parakou,Benin,1
Save Airport,SVF,Save,Benin,1
Ambriz Airport,AZZ,Ambriz,Angola,1
Andulo Airport,ANL,Andulo,Angola,1
Gen V Deslandes Airport,BUG,Benguela,Angola,1
Cabinda Airport,CAB,Cabinda,Angola,1
Cafunfo Airport,CFF,Cafunfo,Angola,1
Cangamba Airport,CNZ,Cangamba,Angola,1
Leo Airport,XLU,Leo,Burkina Faso,1
Nouna Airport,XNU,Nouna,Burkina Faso,1
Ouagadougou Airport,OUA,Ouagadougou,Burkina Faso,2
Ouahigouya Airport,OUG,Ouahigouya,Burkina Faso,1
Pama Airport,XPA,Pama,Burkina Faso,1
Po Airport,PUP,Po,Burkina Faso,1
Sebba Airport,XSE,Sebba,Burkina Faso,1
Tambao Airport,TMQ,Tambao,Burkina Faso,1
Tenkodogo Airport,TEG,Tenkodogo,Burkina Faso,1
Yalinga Airport,AIG,Yalinga,Central African Republic,1
Zemio Airport,IMO,Zemio,Central African Republic,1
Tiko Airport,TKC,Tiko,Cameroon,1
Yagoua Airport,GXX,Yagoua,Cameroon,1
Nsimalen Airport,NSI,Yaounde,Cameroon,2
Yaounde Airport,YAO,Yaounde,Cameroon,1
Maun Airport,MUB,Maun,Botswana,1
Orapa Airport,ORP,Orapa,Botswana,1
Savuti Airport,SVT,Savuti,Botswana,1
Selebi-Phikwe Airport,PKW,Selebi-Phikwe,Botswana,1
Shakawe Airport,SWX,Shakawe,Botswana,1
Suapan Airport,SXN,Suapan,Botswana,1
Tsabong Airport,TBY,Tsabong,Botswana,1
Limpopo Valley Airport,TLD,Tuli Block,Botswana,1
Capanda Airport,KNP,Capanda,Angola,1
Catumbela Airport,CBT,Catumbela,Angola,1
Cazombo Airport,CAV,Cazombo,Angola,1
Chitato Airport,PGI,Chitato,Angola,1
Cuito Cuanavale Airport,CTI,Cuito Cuanavale,Angola,1
Dirico Airport,DRC,Dirico,Angola,1
Dundo Airport,DUE,Dundo,Angola,1
Huambo Airport,NOV,Huambo,Angola,1
Tougan Airport,TUQ,Tougan,Burkina Faso,1
Zabre Airport,XZA,Zabre,Burkina Faso,1
Jamba Airport,JMB,Jamba,Angola,1
Kuito Airport,SVP,Kuito,Angola,1
4 de Fevereiro Airport,LAD,Luanda,Angola,2
Luau Airport,UAL,Luau,Angola,1
Lubango Airport,SDD,Lubango,Angola,1
Luena Airport,LUO,Luena,Angola,1
Lukapa Airport,LBZ,Lukapa,Angola,1
Lumbala Airport,GGC,Lumbala,Angola,1
Luzamba Airport,LZM,Luzamba,Angola,1
Malange Airport,MEG,Malange,Angola,1
Menongue Airport,SPP,Menongue,Angola,1
Namibe Airport,MSZ,Namibe,Angola,1
Ndalatandos Airport,NDF,Ndalatandos,Angola,1
Negage Airport,GXG,Negage,Angola,1
Ngiva Airport,NGV,Ngiva,Angola,1
Nzagi Airport,NZA,Nzagi,Angola,1
Ongiva Airport,VPE,Ongiva,Angola,1
Porto Amboim Airport,PBN,Porto Amboim,Angola,1
Saurimo Airport,VHC,Saurimo,Angola,1
Soyo Airport,SZA,Soyo,Angola,1
Sumbe Airport,NDD,Sumbe,Angola,1
Uige Airport,UGO,Uige,Angola,1
Waco Kungo Airport,CEO,Waco Kungo,Angola,1
Xangongo Airport,XGN,Xangongo,Angola,1
Phung-Duc Airport,BMV,Banmethuot,Vietnam,1
Ca Mau Airport,CAH,Ca Mau,Vietnam,1
Can Tho Airport,VCA,Can Tho,Vietnam,1
Cape St Jacques Airport,CSJ,Cape St Jacques,Vietnam,1
Coong Airport,VCS,Con Dao,Vietnam,1
Da Nang Airport,DAD,Da Nang,Vietnam,1
Lienkhang Airport,DLI,Dalat,Vietnam,1
Dien Bien Airport,DIN,Dien Bien Phu,Vietnam,1
Catbi Airport,HPH,Haiphong,Vietnam,1
Noibai Airport,HAN,Hanoi,Vietnam,4
Tan Son Nhat International Airport,SGN,Ho Chi Minh City (Saigon),Vietnam,4
Phu Bai Airport,HUI,Hue,Vietnam,1
Kontum Airport,KON,Kontum,Vietnam,1
Long Xuyen Airport,XLO,Long Xuyen,Vietnam,1
Cam Ranh Airport,CXR,Nha Trang,Vietnam,1
Nha Trang Airport,NHA,Nha Trang,Vietnam,1
Phan Rang Airport,PHA,Phan Rang,Vietnam,1
Phan Thiet Airport,PHH,Phan Thiet,Vietnam,1
Duong Dang Airport,PQC,Phu Quoc,Vietnam,1
Phu Vinh Airport,PHU,Phu Vinh,Vietnam,1
Phu-bon Airport,HBN,Phu-bon,Vietnam,1
Phuoclong Airport,VSO,Phuoclong,Vietnam,1
Pleiku Airport,PXU,Pleiku,Vietnam,1
Nhon Co Airport,HOO,Quanduc,Vietnam,1
Quang Ngai Airport,XNG,Quang Ngai,Vietnam,1
Qui Nhon Airport,UIH,Qui Nhon,Vietnam,1
Rach Gia Airport,VKG,Rach Gia,Vietnam,1
Soc Trang Airport,SOA,Soc Trang,Vietnam,1
Na-San Airport,SQH,Son-La,Vietnam,1
Chulai Airport,VCL,Tamky,Vietnam,1
Tamky Airport,TMK,Tamky,Vietnam,1
Tuy Hoa Airport,TBB,Tuy Hoa,Vietnam,1
Vinh City Airport,VII,Vinh City,Vietnam,1
Vinh Long Airport,XVL,Vinh Long,Vietnam,1
Comoro Airport,DIL,Dili,Timor-Leste (East Timor),1
Udorn Airport,BAO,Ban Mak Khaen,Thailand,1
Don Muang International Airport,DMK,Bangkok,Thailand,2
Suvarnabhumi Airport,BKK,Bangkok,Thailand,5
Buriram Airport,BFV,Buriram,Thailand,1
Chiang Mai International Airport,CNX,Chiang Mai,Thailand,3
Chiang Rai Airport,CEI,Chiang Rai,Thailand,2
Chumphon Airport,CJM,Chumphon,Thailand,1
Vung Tau Airport,VTG,Vung Tau,Vietnam,1
Ampara Airport,ADP,Ampara,Sri Lanka,1
Kondavattavan Tank Airport,AFK,Ampara,Sri Lanka,1
Anuradhapura Airport,ACJ,Anuradhapura,Sri Lanka,1
Batticaloa Airport,BTC,Batticaloa,Sri Lanka,1
Bentota River Airport,BJT,Bentota River,Sri Lanka,1
Bandaranayake International Airport,CMB,Colombo,Sri Lanka,4
Hat Yai Airport,HDY,Hat Yai,Thailand,2
Hua Hin Airport,HHQ,Hua Hin,Thailand,2
Kamphangsaen Airport,KDT,Kamphangsaen,Thailand,1
Khon Kaen Airport,KKC,Khon Kaen,Thailand,2
Koh Samui Airport,USM,Koh Samui,Thailand,2
Krabi Airport,KBV,Krabi,Thailand,3
Lampang Airport,LPT,Lampang,Thailand,1
Loei Airport,LOE,Loei,Thailand,1
Lop Buri Airport,KKM,Lop Buri,Thailand,1
Mae Hong Son Airport,HGN,Mae Hong Son,Thailand,2
Changi International Airport,SIN,Singapore,Singapore,5
Paya Lebar Airport,QPG,Singapore,Singapore,1
Seletar Airport,XSP,Singapore,Singapore,1
Ratmalana Airport,RML,Colombo,Sri Lanka,1
Dambulu Oya Tank Airport,DBU,Dambula,Sri Lanka,1
Mawella Lagoon Airport,DIW,Dickwella,Sri Lanka,1
Amparai Airport,GOY,Gal Oya,Sri Lanka,1
Castlereigh Reservoir Airport,NUF,Hatton,Sri Lanka,1
Hingurakgoda Airport,HIM,Hingurakgoda,Sri Lanka,1
Kankesanturai Airport,JAF,Jaffna,Sri Lanka,1
Vic. Resevour Kandy Airport,KDW,Kandy,Sri Lanka,1
Mae Sot Airport,MAQ,Mae Sot,Thailand,1
Nakhon Phanom Airport,KOP,Nakhon Phanom,Thailand,1
Nakhon Ratchasima Airport,NAK,Nakhon Ratchasima,Thailand,1
Nakhon Si Thammarat Airport,NST,Nakhon Si Thammarat,Thailand,2
Nan Airport,NNT,Nan,Thailand,1
Narathiwat Airport,NAW,Narathiwat,Thailand,2
Pai Airport,PYY,Pai,Thailand,1
Patong Beach Airport,PBS,Patong Beach,Thailand,1
Alah Airport,AAV,Alah,Philippines,1
Diosdado Macapagal International Airport (Clark),CRK,Angeles City,Philippines,2
Evelio Javier Airport,EUQ,Antique,Philippines,1
Bacolod Airport,BCD,Bacolod,Philippines,1
Abbottabad Airport,AAW,Abbottabad,Pakistan,1
Attock Airport,ATG,Attock,Pakistan,1
Talhar Airport,BDN,Badin,Pakistan,1
Bahawalnagar Airport,WGB,Bahawalnagar,Pakistan,1
Bahawalpur Airport,BHV,Bahawalpur,Pakistan,1
Bannu Airport,BNP,Bannu,Pakistan,1
Polgolla Reservoir Airport,KDZ,Katugastota,Sri Lanka,1
Katukurunda Slaf Base Airport,KTY,Katukurunda,Sri Lanka,1
Kelaniya River Airport,KEZ,Kelaniya,Sri Lanka,1
Koggala Airport,KCT,Koggala,Sri Lanka,1
Mahaweli Airport,KDY,Mahaweli,Sri Lanka,1
Minneriya Airport,MNH,Minneriya,Sri Lanka,1
Sigiriya Slaf Base Airport,GIU,Sigiriya,Sri Lanka,1
China Bay Airport,TRR,Trincomalee,Sri Lanka,1
Weerawila Airport,WRZ,Weerawila,Sri Lanka,1
Baglung Airport,BGL,Baglung,Nepal,1
Baitadi Airport,BIT,Baitadi,Nepal,1
Pattani Airport,PAN,Pattani,Thailand,1
Pattaya Airport,PYX,Pattaya,Thailand,1
Phanom Sarakham Airport,PMM,Phanom Sarakham,Thailand,1
Phetchabun Airport,PHY,Phetchabun,Thailand,1
Phi Phi Island Airport,PHZ,Phi Phi Island,Thailand,1
Phitsanulok Airport,PHS,Phitsanulok,Thailand,2
Phrae Airport,PRH,Phrae,Thailand,1
Phuket International Airport,HKT,Phuket,Thailand,4
Ranong Airport,UNN,Ranong,Thailand,2
Baganga Airport,BNQ,Baganga,Philippines,1
Loakan Airport,BAG,Baguio,Philippines,1
Baler Airport,BQA,Baler,Philippines,1
Basco Airport,BSO,Basco,Philippines,1
