Airport,ShortName,Location,Country,Size
Nosara Beach Airport,NOB,Nosara Beach,Costa Rica,1
Palmar Sur Airport,PMZ,Palmar,Costa Rica,1
Ahuas Airport,AHS,Ahuas,Honduras,1
Brus Laguna Airport,BHG,Brus Laguna,Honduras,1
Catacamas Airport,CAA,Catacamas,Honduras,1
Carmelita Airport,CMM,Carmelita,Guatemala,1
Chiquimula Airport,CIQ,Chiquimula,Guatemala,1
Coatepeque Airport,CTF,Coatepeque,Guatemala,1
Coban Airport,CBV,Coban,Guatemala,1
Dos Lagunas Airport,DON,Dos Lagunas,Guatemala,1
El Naranjo Airport,ENJ,El Naranjo,Guatemala,1
Santa Elena Airport,FRS,Flores,Guatemala,1
La Aurora Airport,GUA,Guatemala City,Guatemala,3
Cheddi Jagan (Timehri) International Airport,GEO,Georgetown,Guyana,1
Imbaimadai Airport,IMB,Imbaimadai,Guyana,1
Kaieteur Airport,KAI,Kaieteur,Guyana,1
Kamarang Airport,KAR,Kamarang,Guyana,1
Karanambo Airport,KRM,Karanambo,Guyana,1
Karasabai Airport,KRG,Karasabai,Guyana,1
Kato Airport,KTO,Kato,Guyana,1
Konawaruk Airport,KKG,Konawaruk,Guyana,1
Playa Samara Airport,PLD,Playa Samara,Costa Rica,1
Puerto Jimenez Airport,PJM,Puerto Jimenez,Costa Rica,1
Punta Islita Airport,PBP,Punta Islita,Costa Rica,1
Punta Renes Airport,JAP,Punta Renes,Costa Rica,1
Quepos Airport,XQP,Quepos,Costa Rica,1
Cauquira Airport,CDD,Cauquira,Honduras,1
Copan Airport,RUY,Copan,Honduras,1
Coronel E Soto Cano AB,ENQ,Coronel E Soto Cano AB,Honduras,1
Coyoles Airport,CYL,Coyoles,Honduras,1
Erandique Airport,EDQ,Erandique,Honduras,1
Gracias Airport,GAC,Gracias,Honduras,1
Gualaco Airport,GUO,Gualaco,Honduras,1
Guanaja Airport,GJA,Guanaja,Honduras,1
Iriona Airport,IRN,Iriona,Honduras,1
Huehuetenango Airport,HUG,Huehuetenango,Guatemala,1
Los Tablones Airport,LOX,Los Tablones,Guatemala,1
Melchor De Menco Airport,MCR,Melchor De Menco,Guatemala,1
Paso Caballos Airport,PCG,Paso Caballos,Guatemala,1
Playa Grande Airport,PKJ,Playa Grande,Guatemala,1
Poptun Airport,PON,Poptun,Guatemala,1
Puerto Barrios Airport,PBR,Puerto Barrios,Guatemala,1
Quetzaltenango Airport,AAZ,Quetzaltenango,Guatemala,1
Kurupung Airport,KPG,Kurupung,Guyana,1
Lethem Airport,LTM,Lethem,Guyana,1
Lumid Pau Airport,LUB,Lumid Pau,Guyana,1
Rio Frio Airport,RFR,Rio Frio,Costa Rica,1
Juan Santamaria International Airport,SJO,San Jose,Costa Rica,3
San Vito Airport,TOO,San Vito,Costa Rica,1
Guanacaste Airport,SZC,Santa Cruz,Costa Rica,1
Tamarindo Airport,TNO,Tamarindo,Costa Rica,1
Tambor Airport,TMU,Tambor,Costa Rica,1
Tortuquero Airport,TTQ,Tortuquero,Costa Rica,1
Upala Airport,UPL,Upala,Costa Rica,1
Juticalpa Airport,JUT,Juticalpa,Honduras,1
Goloson International Airport,LCE,La Ceiba,Honduras,1
La Esperanza Airport,LEZ,La Esperanza,Honduras,1
La Union Airport,LUI,La Union,Honduras,1
Las Limas Airport,LLH,Las Limas,Honduras,1
Quiche Airport,AQB,Quiche,Guatemala,1
Base Aerea Del Sur Airport,RER,Retalhuleu,Guatemala,1
Las Vegas Airport,LCF,Rio Dulce,Guatemala,1
Rubelsanto Airport,RUV,Rubelsanto,Guatemala,1
El Peten Airport,TKM,Tikal,Guatemala,1
Uaxactun Airport,UAX,Uaxactun,Guatemala,1
Mabaruma Airport,USI,Mabaruma,Guyana,1
Mahdia Airport,MHA,Mahdia,Guyana,1
Maikwak Airport,VEG,Maikwak,Guyana,1
Matthews Ridge Airport,MWJ,Matthews Ridge,Guyana,1
Monkey Mountain Airport,MYM,Monkey Mountain,Guyana,1
Ogle Airport,OGL,Ogle,Guyana,1
Orinduik Airport,ORJ,Orinduik,Guyana,1
Limon Airport,LMH,Limon,Honduras,1
Marcala Airport,MRJ,Marcala,Honduras,1
Olanchito Airport,OAN,Olanchito,Honduras,1
Palacios Airport,PCH,Palacios,Honduras,1
Puerto Lempira Airport,PEU,Puerto Lempira,Honduras,1
Roatan Airport,RTB,Roatan,Honduras,1
San Esteban Airport,SET,San Esteban,Honduras,1
Ramon Villeda Morales Airport,SAP,San Pedro Sula,Honduras,2
Santa Rosa Copan Airport,SDH,Santa Rosa Copan,Honduras,1
Paramakotoi Airport,PMT,Paramakotoi,Guyana,1
Paruima Airport,PRR,Paruima,Guyana,1
Pipillipai Airport,PIQ,Pipillipai,Guyana,1
Port Kaituma Airport,PKM,Port Kaituma,Guyana,1
Sandcreek Airport,SDC,Sandcreek,Guyana,1
Skeldon Airport,SKM,Skeldon,Guyana,1
Sulaco Airport,SCD,Sulaco,Honduras,1
Toncontin Airport,TGU,Tegucigalpa,Honduras,2
Tela Airport,TEA,Tela,Honduras,1
Tocoa Airport,TCF,Tocoa,Honduras,1
Capiro Airport,TJI,Trujillo,Honduras,1
Utila Airport,UII,Utila,Honduras,1
Victoria Airport,VTA,Victoria,Honduras,1
Yoro Airport,ORO,Yoro,Honduras,1
Alto Palena Airport,WAP,Alto Palena,Chile,1
Ancud Airport,ZUD,Ancud,Chile,1
Cerro Moreno Airport,ANF,Antofagasta,Chile,2
Chacalluta Airport,ARI,Arica,Chile,2
Teniente Vidal Airport,BBA,Balmaceda,Chile,2
El Loa Airport,CJC,Calama,Chile,2
Apolo Airport,APB,Apolo,Bolivia,1
Ascension Airport,ASC,Ascension,Bolivia,1
Baures Airport,BVL,Baures,Bolivia,1
Bermejo Airport,BJO,Bermejo,Bolivia,1
Camiri Airport,CAM,Camiri,Bolivia,1
E. Beltram Airport,CIJ,Cobija,Bolivia,1
J Wilsterman Airport,CBB,Cochabamba,Bolivia,1
Gamboa Airport,WCA,Castro,Chile,1
Cerro Sombrero Airport,SMB,Cerro Sombrero,Chile,1
Chaiten Airport,WCH,Chaiten,Chile,1
Chanaral Airport,CNR,Chanaral,Chile,1
Chile Chico Airport,CCH,Chile Chico,Chile,1
Chillan Airport,YAI,Chillan,Chile,1
Cochrane Airport,LGR,Cochrane,Chile,1
Carriel Sur Airport,CCP,Concepcion,Chile,2
Concepcion Airport,CEP,Concepcion,Bolivia,1
Guayaramerin Airport,GYA,Guayaramerin,Bolivia,1
Huacaraje Airport,BVK,Huacaraje,Bolivia,1
El Alto Airport,LPB,La Paz,Bolivia,2
Magdalena Airport,MGD,Magdalena,Bolivia,1
Desierto De Atacama Airport,CPO,Copiapo,Chile,2
Coquimbo Airport,COW,Coquimbo,Chile,1
Ten. Vidal Airport,GXQ,Coyhaique,Chile,1
Mataveri International Airport,IPC,Easter Island,Chile,2
El Salvador Airport,ESR,El Salvador,Chile,2
Frutillar Airport,FRT,Frutillar,Chile,1
Futaleufu Airport,FFU,Futaleufu,Chile,1
Cavancha Airport,IQQ,Iquique,Chile,2
La Florida Airport,LSC,La Serena,Chile,2
Federal Airport,ALQ,Alegrete,Brazil,1
Monteagudo Airport,MHW,Monteagudo,Bolivia,1
Oruro Airport,ORU,Oruro,Bolivia,1
Potosi Airport,POI,Potosi,Bolivia,1
Puerto Rico Airport,PUR,Puerto Rico,Bolivia,1
Municipal Airport,TZA,Belize City,Belize,1
Philip S.W. Goldson International Airport,BZE,Belize City,Belize,2
Belmopan Airport,BCV,Belmopan,Belize,1
Big Creek Airport,BGK,Big Creek,Belize,1
Caye Caulker Airport,CUK,Caye Caulker,Belize,1
Caye Chapel Airport,CYC,Caye Chapel,Belize,1
Corozal Airport,CZH,Corozal,Belize,1
Dangriga Airport,DGA,Dangriga,Belize,1
